model,metric,point,ci_low,ci_high,ci_width,n_windows,n_predictions,B
sarima,smape,4.7956521528042595,4.289042752569085,5.326994323146721,1.0379515705776363,103,618,10000
sarima,mae,363.25725153467084,323.8501639213222,405.10077731959086,81.25061339826868,103,618,10000
sarima_temp,smape,4.659836284765464,4.156533550554833,5.188617049667366,1.0320834991125327,103,618,10000
sarima_temp,mae,352.85511980650887,314.05651941389175,393.96777898030837,79.91125956641662,103,618,10000
xgboost,smape,6.935026892395093,6.261442736408178,7.646527774534086,1.3850850381259079,103,618,10000
xgboost,mae,526.5754995006573,472.2936929153393,583.4872181321424,111.1935252168031,103,618,10000
xgboost_temp,smape,6.552816842313532,5.906188432204107,7.227462623081463,1.3212741908773555,103,618,10000
xgboost_temp,mae,496.58012948144216,445.15468086316747,550.5940473735525,105.43936651038501,103,618,10000
catboost,smape,6.589326365906759,5.924810977812372,7.273354727286445,1.3485437494740724,103,618,10000
catboost,mae,500.8982993433619,447.70862679570826,555.6901950336872,107.98156823797899,103,618,10000
catboost_temp,smape,6.331192428109856,5.731879087045298,6.955229496764064,1.2233504097187655,103,618,10000
catboost_temp,mae,478.67653840388834,430.8125967377089,528.055339849114,97.24274311140516,103,618,10000
